Epochs,Neurons_Layer1,Neurons_Layer2,Neurons_Layer3,Accuracy
20,25,10,0,0.953265428
20,100,0,10,0.953265428
50,10,0,50,0.953265428
100,10,0,100,0.953265428
100,10,10,25,0.953265428
100,50,10,10,0.953265428
100,50,10,25,0.953265428
100,100,50,10,0.953265428
20,25,25,0,0.951092796
20,25,0,25,0.95000648
50,10,0,100,0.947290689
20,25,10,10,0.944574899
20,25,50,100,0.944574899
20,50,100,10,0.944574899
20,100,25,100,0.944574899
50,25,50,100,0.944574899
50,50,50,25,0.943488583
100,50,100,0,0.943488583
20,25,10,50,0.942945425
50,10,50,50,0.942945425
20,50,25,100,0.942402267
20,100,25,10,0.942402267
20,10,10,100,0.941859108
20,25,50,50,0.941859108
20,25,100,25,0.941859108
20,50,25,10,0.941859108
20,100,50,0,0.941859108
100,100,10,10,0.941859108
20,10,100,50,0.94131595
50,10,0,0,0.94131595
20,50,100,0,0.940229634
20,100,0,100,0.940229634
20,100,10,10,0.940229634
20,25,50,0,0.939686476
50,10,0,10,0.939686476
100,10,0,10,0.939686476
20,100,0,25,0.939143318
20,100,50,100,0.939143318
50,100,25,25,0.939143318
50,100,100,10,0.939143318
100,25,50,0,0.939143318
20,50,25,0,0.93860016
50,10,0,25,0.93860016
100,25,25,100,0.93860016
20,25,0,50,0.938057002
50,50,10,10,0.938057002
50,100,10,0,0.938057002
50,100,25,100,0.938057002
100,10,100,25,0.938057002
100,25,10,25,0.938057002
20,10,100,25,0.937513844
100,10,50,10,0.937513844
100,50,100,25,0.937513844
20,10,25,10,0.936970686
20,25,10,100,0.936970686
20,50,10,10,0.936970686
20,100,25,0,0.936970686
50,10,10,25,0.936970686
50,100,50,10,0.936970686
20,50,0,0,0.936427528
50,25,25,50,0.936427528
20,100,25,25,0.935884369
20,100,50,25,0.935884369
50,100,0,0,0.935884369
50,100,50,25,0.935884369
20,100,100,25,0.935341211
50,25,10,0,0.935341211
50,25,25,10,0.935341211
50,25,25,25,0.935341211
50,100,50,50,0.935341211
100,50,50,10,0.935341211
50,25,10,10,0.934798053
50,100,100,25,0.934798053
100,50,0,0,0.934798053
100,50,0,50,0.934798053
100,50,50,100,0.934798053
100,100,100,10,0.934254895
20,50,50,50,0.933711737
50,25,50,50,0.933168579
50,50,10,50,0.933168579
100,10,100,100,0.933168579
100,50,25,0,0.933168579
50,25,0,25,0.932625421
50,25,100,100,0.932625421
50,100,0,25,0.932625421
100,100,10,50,0.932625421
20,10,100,10,0.932082263
20,25,0,100,0.932082263
100,50,100,10,0.932082263
20,50,0,10,0.931539105
50,50,50,100,0.931539105
100,100,100,0,0.931539105
20,10,10,50,0.930995947
20,50,100,100,0.930995947
20,100,25,50,0.930995947
20,100,100,10,0.930995947
100,10,50,25,0.930995947
20,10,25,25,0.930452789
20,100,10,50,0.92990963
50,10,10,0,0.92990963
50,25,0,50,0.92990963
100,50,100,100,0.92990963
20,50,10,100,0.929366472
20,100,10,25,0.929366472
20,25,10,25,0.928823314
20,25,25,100,0.928823314
100,10,25,25,0.928823314
20,10,0,10,0.92719384
20,10,50,50,0.92719384
100,100,10,0,0.92719384
50,10,100,10,0.926650682
100,50,10,100,0.926650682
100,100,10,100,0.926650682
20,50,10,50,0.926107524
50,10,25,50,0.926107524
50,25,10,50,0.926107524
100,25,0,100,0.926107524
20,10,50,0,0.925564366
20,10,50,10,0.925564366
50,50,25,0,0.925564366
100,25,100,10,0.925564366
50,10,25,25,0.925021208
50,50,100,50,0.925021208
100,25,10,10,0.925021208
100,100,25,0,0.925021208
20,50,0,50,0.924478049
50,25,100,0,0.924478049
100,25,50,100,0.924478049
100,50,25,100,0.924478049
20,100,0,50,0.923934891
50,25,0,0,0.923391733
100,25,10,100,0.923391733
100,25,100,100,0.923391733
100,100,25,50,0.923391733
50,10,50,10,0.922848575
50,10,100,50,0.922848575
50,100,100,50,0.922848575
100,50,0,10,0.922848575
100,100,25,100,0.922848575
20,25,50,25,0.922305417
50,50,100,10,0.922305417
100,50,0,100,0.922305417
50,100,0,100,0.921762259
100,25,100,50,0.921762259
100,100,0,100,0.921762259
20,10,100,100,0.921219101
50,10,50,0,0.921219101
50,100,100,100,0.921219101
50,50,0,0,0.920675943
50,100,0,10,0.920675943
100,10,10,0,0.920675943
100,10,100,10,0.920675943
100,50,0,25,0.920675943
20,10,10,0,0.920132785
20,50,50,25,0.920132785
100,50,10,0,0.920132785
100,50,25,50,0.920132785
20,50,100,25,0.919589627
50,25,10,25,0.919589627
50,50,25,25,0.919589627
100,100,50,100,0.919589627
50,10,10,100,0.919046469
50,50,100,100,0.919046469
100,10,100,50,0.919046469
100,100,0,50,0.919046469
100,100,50,0,0.919046469
20,50,25,25,0.91850331
20,50,25,50,0.91850331
50,100,50,100,0.91850331
100,10,10,50,0.91850331
20,25,25,50,0.917960152
50,10,100,0,0.917960152
50,50,50,50,0.917960152
20,25,0,0,0.917416994
50,100,50,0,0.917416994
100,10,10,100,0.917416994
100,10,100,0,0.917416994
20,25,0,10,0.916873836
50,50,0,100,0.916873836
100,10,0,25,0.916873836
100,25,0,25,0.916873836
100,100,100,50,0.916873836
50,25,25,0,0.916330678
50,25,0,10,0.91578752
100,25,0,10,0.91578752
100,100,10,25,0.91578752
100,100,50,50,0.91578752
20,10,50,25,0.915244362
100,10,10,10,0.915244362
20,25,50,10,0.914701204
50,50,50,10,0.914701204
50,50,10,100,0.914158046
50,100,25,0,0.914158046
100,25,100,25,0.914158046
100,100,25,25,0.914158046
50,100,10,50,0.913614888
100,25,50,25,0.913614888
50,10,25,100,0.91307173
50,25,50,0,0.91307173
50,50,25,100,0.91307173
50,50,100,25,0.91307173
100,10,25,100,0.91307173
100,10,25,10,0.912528571
100,50,25,10,0.912528571
20,25,25,25,0.911985413
100,10,50,100,0.911985413
100,25,0,0,0.911985413
100,25,25,10,0.911985413
50,25,50,10,0.911442255
20,100,100,100,0.910899097
50,100,10,25,0.910899097
100,100,100,25,0.910899097
100,25,50,50,0.910355939
100,50,50,0,0.910355939
100,100,25,10,0.910355939
100,100,100,100,0.910355939
20,50,50,100,0.909812781
50,10,50,25,0.909812781
50,100,100,0,0.909812781
100,25,10,50,0.909812781
20,25,100,50,0.908726465
50,50,0,10,0.908726465
100,25,25,50,0.908726465
100,50,50,25,0.908726465
20,50,10,0,0.907640149
50,10,100,100,0.907640149
100,100,0,25,0.907640149
50,25,0,100,0.907096991
50,50,0,25,0.907096991
50,100,10,100,0.907096991
100,10,50,50,0.907096991
20,50,100,50,0.906010674
50,25,100,25,0.906010674
100,50,10,50,0.906010674
100,100,50,25,0.906010674
20,100,10,100,0.905467516
100,50,100,50,0.905467516
50,25,100,10,0.904924358
50,50,10,25,0.904924358
100,25,25,25,0.904924358
100,25,100,0,0.904924358
20,10,0,100,0.9043812
50,50,25,10,0.9043812
50,50,25,50,0.9043812
50,100,25,50,0.9043812
100,10,0,0,0.9043812
100,25,25,0,0.9043812
50,10,10,50,0.903838042
50,10,50,100,0.903294884
100,25,50,10,0.903294884
20,50,0,25,0.902751726
50,50,10,0,0.902751726
50,100,10,10,0.902751726
20,10,0,25,0.902208568
50,10,100,25,0.902208568
100,100,0,10,0.902208568
50,50,0,50,0.900579093
50,50,100,0,0.900035935
20,10,25,0,0.899492777
20,50,10,25,0.898949619
100,50,25,25,0.898949619
100,10,50,0,0.898406461
20,50,50,0,0.897863303
20,100,100,0,0.897320145
50,10,10,10,0.897320145
50,25,10,100,0.896233829
50,100,25,10,0.896233829
100,10,25,50,0.896233829
20,10,0,50,0.895147512
20,50,50,10,0.894604354
20,10,50,100,0.894061196
20,25,25,10,0.894061196
100,50,50,50,0.893518038
100,25,10,0,0.89297488
100,100,0,0,0.890802248
50,10,25,0,0.89025909
50,25,50,25,0.89025909
100,25,0,50,0.89025909
20,25,100,0,0.888629615
100,10,0,50,0.888629615
20,100,50,50,0.888086457
50,50,50,0,0.885370667
20,10,10,10,0.883198034
20,50,0,100,0.883198034
20,10,25,50,0.882654876
20,100,50,10,0.880482244
20,10,0,0,0.877766454
20,10,10,25,0.877766454
20,100,100,50,0.877766454
50,10,25,10,0.877766454
100,10,25,0,0.877223295
50,25,100,50,0.876136979
20,25,100,10,0.875050663
50,25,25,100,0.872334873
20,10,100,0,0.871248556
50,100,0,50,0.870705398
20,100,0,0,0.865273817
20,10,25,100,0.852781181
20,25,100,100,0.844090652
20,100,10,0,0.833770648
